Word,CEFR,Frequency
the,A1,9
of,A1,9
and,A1,9
to,A1,9
in,A1,9
a,A1,9
is,A1,9
that,A1,9
for,A1,9
as,A1,9
it,A1,9
with,A1,9
on,A1,9
be,A1,9
by,A1,9
was,A1,9
not,A1,9
or,A1,9
this,A1,9
are,A1,9
i,A1,9
at,A1,9
from,A1,9
he,A1,9
which,A1,9
an,A1,9
have,A1,9
his,A1,9
but,B1,9
you,A1,9
were,A1,9
we,A1,9
they,A1,9
had,A1,9
all,A1,9
one,A2,9
has,A1,9
their,A1,9
will,B2,9
been,A2,9
can,A2,9
there,A1,9
other,A2,9
if,A1,9
would,A1,9
her,A1,9
more,A1,9
may,A1,9
when,A1,9
its,A1,9
no,A1,9
these,A1,9
new,A1,9
she,A1,9
such,A2,9
so,A1,9
who,A1,9
time,B2,9
than,A1,9
any,A1,9
do,A1,9
what,A1,9
some,A1,9
also,A1,9
about,A1,9
only,A1,9
into,A1,9
out,A1,9
two,A1,9
my,A1,9
up,A1,9
them,A1,9
him,A1,9
first,A1,9
said,?,9
see,A1,9
state,B2,9
our,A1,9
under,A1,9
should,A1,9
made,?,9
could,A1,9
after,A1,9
then,A1,9
over,A1,9
between,A1,9
most,A2,9
your,A1,9
me,A1,9
work,A1,9
s,?,9
where,A1,9
each,A1,9
very,A1,9
through,A1,9
now,B2,9
year,A1,9
did,A1,9
years,?,9
use,A1,9
those,A1,9
many,A1,9
shall,A2,9
like,A1,9
well,A1,9
same,A1,9
must,A1,9
being,A2,9
because,A1,9
used,A2,9
before,A1,9
people,A1,9
general,B1,9
part,B2,9
how,A1,9
states,?,9
even,A2,9
during,A2,9
both,A1,9
number,A1,9
system,A2,9
much,A1,9
case,A1,9
per,B1,9
way,A1,9
three,A1,9
make,A1,9
upon,A2,9
public,A2,9
section,A1,9
life,A1,9
p,?,9
however,A2,9
act,B1,9
water,B2,9
government,A2,9
good,B2,9
day,A1,9
while,B1,9
high,A2,9
order,A2,9
long,A2,9
law,A2,9
just,A1,9
united,B2,9
man,A1,9
without,A2,9
world,A1,9
us,A1,9
does,A1,9
right,A2,9
court,A2,9
service,B1,9
great,A1,9
within,A2,9
national,A2,9
c,?,9
information,A1,9
company,A2,9
here,A1,9
found,B2,9
own,B1,9
back,B1,9
against,A2,9
given,A2,9
know,A1,9
development,B1,9
another,A2,9
b,?,9
down,A2,9
since,A2,9
power,A2,9
data,B2,9
school,A1,9
university,A2,9
american,?,9
take,A1,9
small,A1,9
present,B2,9
place,B1,9
little,B1,9
total,B1,9
following,B2,9
different,A1,9
large,A1,9
house,A1,9
research,B2,9
york,?,9
less,A2,9
second,A2,9
city,A1,9
still,A2,9
might,A2,9
control,B1,9
point,A2,9
business,A1,9
men,?,9
form,B1,9
get,A1,9
every,A1,9
social,A1,9
report,B1,9
committee,A2,9
last,B1,9
too,A1,9
area,A2,9
group,B1,9
end,A2,9
set,A1,9
department,B1,9
old,A1,9
study,A1,9
children,?,9
think,A1,9
value,B2,9
important,A1,9
fact,A2,9
go,A1,9
need,A2,9
table,A1,9
education,A2,9
come,A1,9
period,A1,9
program,B1,9
office,A1,9
war,A1,9
off,B1,9
say,A1,9
interest,B1,9
few,B1,9
board,B1,9
health,A1,9
above,A1,9
never,A1,9
line,B2,9
thus,B1,9
means,B2,9
country,A2,9
services,?,9
possible,A2,9
whether,B1,9
until,A1,9
process,B2,9
again,A1,9
local,A2,9
rate,B2,9
action,A1,9
effect,A2,9
four,A1,9
hand,A2,9
home,A1,9
based,?,9
example,A1,9
question,B2,9
certain,A2,9
members,?,9
among,A2,9
land,A2,9
further,B1,9
give,A1,9
several,A2,9
having,A1,9
called,?,9
course,A1,9
cases,?,9
county,B1,9
